,aqi,pm10,pm25,o3,timestamp_local,so2,no2,timestamp_utc,datetime,co,ts,city,latitude,longitude,timezone
0,22.6,7.25193,4.296299,47.922134,2022-10-24T14:00:00,0.40605664,0.020751031,2022-10-24T09:00:00,2022-10-24:09,193.59589,1666602000,Pitampura,28.7041,77.1025,Asia/Kolkata
1,23.0,8.031694,3.7638605,49.209595,2022-10-24T15:00:00,0.39115548,0.022759195,2022-10-24T10:00:00,2022-10-24:10,194.59724,1666605600,Pitampura,28.7041,77.1025,Asia/Kolkata
2,23.8,9.566713,3.117221,51.927567,2022-10-24T16:00:00,0.36880374,0.027980423,2022-10-24T11:00:00,2022-10-24:11,196.26617,1666609200,Pitampura,28.7041,77.1025,Asia/Kolkata
3,25.0,11.507183,2.4885843,53.64418,2022-10-24T17:00:00,0.35762787,0.036146957,2022-10-24T12:00:00,2022-10-24:12,196.93375,1666612800,Pitampura,28.7041,77.1025,Asia/Kolkata
4,25.0,12.60302,2.643011,53.64418,2022-10-24T18:00:00,0.36880374,0.04284084,2022-10-24T13:00:00,2022-10-24:13,195.26482,1666616400,Pitampura,28.7041,77.1025,Asia/Kolkata
5,25.0,13.4346695,2.7697089,55.07469,2022-10-24T19:00:00,0.3799796,0.04551839,2022-10-24T14:00:00,2022-10-24:14,195.26482,1666620000,Pitampura,28.7041,77.1025,Asia/Kolkata
6,26.0,13.957112,2.8264859,55.789948,2022-10-24T20:00:00,0.39115548,0.04551839,2022-10-24T15:00:00,2022-10-24:15,196.93375,1666623600,Pitampura,28.7041,77.1025,Asia/Kolkata
7,26.0,13.07002,2.8770802,57.22046,2022-10-24T21:00:00,0.39860606,0.044849,2022-10-24T16:00:00,2022-10-24:16,196.93375,1666627200,Pitampura,28.7041,77.1025,Asia/Kolkata
8,27.0,13.572899,3.0282629,58.65097,2022-10-24T22:00:00,0.40233135,0.044849,2022-10-24T17:00:00,2022-10-24:17,196.93375,1666630800,Pitampura,28.7041,77.1025,Asia/Kolkata
9,27.0,14.227764,3.2144709,59.366226,2022-10-24T23:00:00,0.40605664,0.044849,2022-10-24T18:00:00,2022-10-24:18,196.93375,1666634400,Pitampura,28.7041,77.1025,Asia/Kolkata
10,28.0,15.185615,3.2388995,60.081482,2022-10-25T00:00:00,0.40978193,0.044849,2022-10-24T19:00:00,2022-10-24:19,195.26482,1666638000,Pitampura,28.7041,77.1025,Asia/Kolkata
11,28.0,15.193135,3.1333208,60.796738,2022-10-25T01:00:00,0.40605664,0.044179615,2022-10-24T20:00:00,2022-10-24:20,195.26482,1666641600,Pitampura,28.7041,77.1025,Asia/Kolkata
12,28.0,14.060831,2.9393518,60.796738,2022-10-25T02:00:00,0.39115548,0.04351023,2022-10-24T21:00:00,2022-10-24:21,195.26482,1666645200,Pitampura,28.7041,77.1025,Asia/Kolkata
13,28.0,13.403369,2.7480788,61.511993,2022-10-25T03:00:00,0.36880374,0.04351023,2022-10-24T22:00:00,2022-10-24:22,195.26482,1666648800,Pitampura,28.7041,77.1025,Asia/Kolkata
14,29.0,12.748761,2.557324,63.65776,2022-10-25T04:00:00,0.346452,0.044179615,2022-10-24T23:00:00,2022-10-24:23,196.93375,1666652400,Pitampura,28.7041,77.1025,Asia/Kolkata
15,30.0,11.915914,2.425796,65.80353,2022-10-25T05:00:00,0.3427267,0.044849,2022-10-25T00:00:00,2022-10-25:00,198.60268,1666656000,Pitampura,28.7041,77.1025,Asia/Kolkata
16,31.0,11.348377,2.4491923,67.23404,2022-10-25T06:00:00,0.35390258,0.04953472,2022-10-25T01:00:00,2022-10-25:01,198.60268,1666659600,Pitampura,28.7041,77.1025,Asia/Kolkata
17,31.0,11.415602,2.6406446,67.23404,2022-10-25T07:00:00,0.3874302,0.050873496,2022-10-25T02:00:00,2022-10-25:02,198.60268,1666663200,Pitampura,28.7041,77.1025,Asia/Kolkata
18,31.0,12.186556,2.8320096,66.51878,2022-10-25T08:00:00,0.41350722,0.046857167,2022-10-25T03:00:00,2022-10-25:03,198.60268,1666666800,Pitampura,28.7041,77.1025,Asia/Kolkata
19,30.0,13.125434,2.9580169,65.08827,2022-10-25T09:00:00,0.43213367,0.042506143,2022-10-25T04:00:00,2022-10-25:04,196.93375,1666670400,Pitampura,28.7041,77.1025,Asia/Kolkata
20,29.0,13.836587,3.094382,62.22725,2022-10-25T10:00:00,0.44703484,0.036481652,2022-10-25T05:00:00,2022-10-25:05,195.26482,1666674000,Pitampura,28.7041,77.1025,Asia/Kolkata
21,27.0,13.538135,3.1508415,59.366226,2022-10-25T11:00:00,0.44330955,0.030791853,2022-10-25T06:00:00,2022-10-25:06,195.26482,1666677600,Pitampura,28.7041,77.1025,Asia/Kolkata
22,28.0,12.568013,2.9954557,60.081482,2022-10-25T12:00:00,0.4172325,0.026440829,2022-10-25T07:00:00,2022-10-25:07,193.59589,1666681200,Pitampura,28.7041,77.1025,Asia/Kolkata
23,29.0,11.816511,2.7048125,62.942505,2022-10-25T13:00:00,0.3799796,0.023763277,2022-10-25T08:00:00,2022-10-25:08,193.59589,1666684800,Pitampura,28.7041,77.1025,Asia/Kolkata
24,30.0,11.694825,2.576199,65.08827,2022-10-25T14:00:00,0.35762787,0.02309389,2022-10-25T09:00:00,2022-10-25:09,191.92696,1666688400,Pitampura,28.7041,77.1025,Asia/Kolkata
25,30.0,11.4304,2.5426767,65.08827,2022-10-25T15:00:00,0.3501773,0.024432667,2022-10-25T10:00:00,2022-10-25:10,191.92696,1666692000,Pitampura,28.7041,77.1025,Asia/Kolkata
26,29.0,11.340401,2.5727327,63.65776,2022-10-25T16:00:00,0.36507845,0.029787771,2022-10-25T11:00:00,2022-10-25:11,191.92696,1666695600,Pitampura,28.7041,77.1025,Asia/Kolkata
27,28.0,11.133058,2.6042159,61.511993,2022-10-25T17:00:00,0.3874302,0.037485734,2022-10-25T12:00:00,2022-10-25:12,191.92696,1666699200,Pitampura,28.7041,77.1025,Asia/Kolkata
28,27.0,11.763476,2.7731595,58.65097,2022-10-25T18:00:00,0.41350722,0.04351023,2022-10-25T13:00:00,2022-10-25:13,191.92696,1666702800,Pitampura,28.7041,77.1025,Asia/Kolkata
29,26.0,13.818454,3.3125515,56.505203,2022-10-25T19:00:00,0.43958426,0.042506143,2022-10-25T14:00:00,2022-10-25:14,191.92696,1666706400,Pitampura,28.7041,77.1025,Asia/Kolkata
30,26.0,15.528751,3.7395413,56.505203,2022-10-25T20:00:00,0.45448542,0.041502062,2022-10-25T15:00:00,2022-10-25:15,191.92696,1666710000,Pitampura,28.7041,77.1025,Asia/Kolkata
31,27.0,15.671468,3.7652779,58.65097,2022-10-25T21:00:00,0.44703484,0.04049798,2022-10-25T16:00:00,2022-10-25:16,191.92696,1666713600,Pitampura,28.7041,77.1025,Asia/Kolkata
32,27.0,15.394556,3.6036441,58.65097,2022-10-25T22:00:00,0.42840838,0.03982859,2022-10-25T17:00:00,2022-10-25:17,191.92696,1666717200,Pitampura,28.7041,77.1025,Asia/Kolkata
33,26.0,15.181485,3.5044212,56.505203,2022-10-25T23:00:00,0.4172325,0.038489815,2022-10-25T18:00:00,2022-10-25:18,191.92696,1666720800,Pitampura,28.7041,77.1025,Asia/Kolkata
34,24.0,15.261966,3.466479,52.928925,2022-10-26T00:00:00,0.4246831,0.036146957,2022-10-25T19:00:00,2022-10-25:19,190.25803,1666724400,Pitampura,28.7041,77.1025,Asia/Kolkata
35,24.0,16.463507,3.617081,51.498413,2022-10-26T01:00:00,0.44703484,0.03480818,2022-10-25T20:00:00,2022-10-25:20,190.25803,1666728000,Pitampura,28.7041,77.1025,Asia/Kolkata
36,24.0,17.52849,3.866325,52.21367,2022-10-26T02:00:00,0.47683716,0.034473486,2022-10-25T21:00:00,2022-10-25:21,190.25803,1666731600,Pitampura,28.7041,77.1025,Asia/Kolkata
37,24.0,17.304174,4.11292,51.498413,2022-10-26T03:00:00,0.4991889,0.0338041,2022-10-25T22:00:00,2022-10-25:22,190.25803,1666735200,Pitampura,28.7041,77.1025,Asia/Kolkata
38,24.0,16.54063,4.286372,51.498413,2022-10-26T04:00:00,0.52154064,0.03313471,2022-10-25T23:00:00,2022-10-25:23,190.25803,1666738800,Pitampura,28.7041,77.1025,Asia/Kolkata
39,23.0,17.283949,4.447205,50.783157,2022-10-26T05:00:00,0.52154064,0.032465324,2022-10-26T00:00:00,2022-10-26:00,190.25803,1666742400,Pitampura,28.7041,77.1025,Asia/Kolkata
40,23.0,17.61373,4.4272647,50.783157,2022-10-26T06:00:00,0.5289912,0.03413879,2022-10-26T01:00:00,2022-10-26:01,191.92696,1666746000,Pitampura,28.7041,77.1025,Asia/Kolkata
41,23.0,18.065601,4.416192,50.0679,2022-10-26T07:00:00,0.5289912,0.030122465,2022-10-26T02:00:00,2022-10-26:02,191.92696,1666749600,Pitampura,28.7041,77.1025,Asia/Kolkata
42,23.0,18.408018,4.5298753,49.352646,2022-10-26T08:00:00,0.5364418,0.0281143,2022-10-26T03:00:00,2022-10-26:03,191.92696,1666753200,Pitampura,28.7041,77.1025,Asia/Kolkata
43,23.0,19.279808,4.5878487,49.352646,2022-10-26T09:00:00,0.52154064,0.024097972,2022-10-26T04:00:00,2022-10-26:04,191.92696,1666756800,Pitampura,28.7041,77.1025,Asia/Kolkata
44,23.0,19.908085,4.5166073,49.352646,2022-10-26T10:00:00,0.4991889,0.020583684,2022-10-26T05:00:00,2022-10-26:05,193.59589,1666760400,Pitampura,28.7041,77.1025,Asia/Kolkata
45,23.0,20.240114,4.3814483,50.0679,2022-10-26T11:00:00,0.47683716,0.018408172,2022-10-26T06:00:00,2022-10-26:06,193.59589,1666764000,Pitampura,28.7041,77.1025,Asia/Kolkata
46,23.0,20.991041,4.1991367,50.0679,2022-10-26T12:00:00,0.46938658,0.017571438,2022-10-26T07:00:00,2022-10-26:07,193.59589,1666767600,Pitampura,28.7041,77.1025,Asia/Kolkata
47,22.0,20.515615,3.9572687,48.63739,2022-10-26T13:00:00,0.45448542,0.017069396,2022-10-26T08:00:00,2022-10-26:08,193.59589,1666771200,Pitampura,28.7041,77.1025,Asia/Kolkata
48,22.0,20.262115,3.9369106,47.20688,2022-10-26T14:00:00,0.45448542,0.01740409,2022-10-26T09:00:00,2022-10-26:09,191.92696,1666774800,Pitampura,28.7041,77.1025,Asia/Kolkata
49,22.0,20.600306,4.0423265,47.20688,2022-10-26T15:00:00,0.461936,0.018408172,2022-10-26T10:00:00,2022-10-26:10,193.59589,1666778400,Pitampura,28.7041,77.1025,Asia/Kolkata
50,22.0,20.962305,4.1708183,46.491623,2022-10-26T16:00:00,0.46938658,0.020583684,2022-10-26T11:00:00,2022-10-26:11,195.26482,1666782000,Pitampura,28.7041,77.1025,Asia/Kolkata
